,year,title,authors
13472,2004,Applications of ai techniques to generation planning and investment,Wu F.
13473,2005,Identification of convection heat transfer coefficient parameters based on hybrid particle swarm algorithm in the secondary cooling zone for steel continuous casting process,Wu Guo-Hua
13474,2006,The meteorological prediction model study of neural ensemble based on pso algorithms,Wu Jiansheng
13475,2006,A transmission line method to compute the farfield radiation of arbitrarily directed hertzian dipoles in a multilayer dielectric structure: Theory and applications,Wu X.H.
13476,2006,Antenna modeling by frequncy dependent hertzian dipoles using particle swarm optimization,Xuan Hui Wu A.A.Kishk
13477,2006,Single machine scheduling with common due date based on pso integrated with heuristics,Wu Xue-Jing
13478,2006,Wavelets neural network based on particle swarm optimization algorithm for fault diagnosis,Xiang Changcheng
13479,2006,Nonlinear neural network predictive control for power unit using particle swarm optimization,Xiao Jian-Mei
13480,2004,Research on neural network predictive control based on particle swarm optimization,Xiao Jianmei
13481,2006,K-means algorithm based on particle swarm optimization algorithm for anomaly intrusion detection,Xiao Lizhong
13482,2003,Gene clustering using self-organizing maps and particle swarm optimization,Xiang Xiao E.R.Dow
13483,2005,An improved pso approach for profit-based unit commitment in electricity market,Xiaohui Yuan
13484,2005,Global optimal ica and its application in brain meg data analysis,Xie Lei
13485,2006,Searching for costas arrays using general particle swarm optimization,Xinchun Yin
13486,2006,Stochastic portfolio selection based on velocity limited particle swarm optimization,Xu Fasheng
13487,2006,Application of multiobjective particle swarm optimization in missile effectiveness optimization,Xu Jia
13488,2006,Study of strip flatness and gauge complex control based on improved pso-rbf neural networks,Xu Lin
13489,2007,Multiclass cancer classification using semisupervised ellipsoid artmap and particle swarm optimization with gene expression data,Xu Rui
13490,2005,Gene expression data for dlbcl cancer survival prediction with a combination of machine learning technologies,Xu Rui
13491,2005,Gene regulatory networks inference with recurrent neural network models,
13492,2004,Inference of genetic regulatory networks with recurrent neural network models,
13493,2006,An unsupervised particle swarm optimization classifier for sar image,Xu Xiaohui
13494,2006,Hybrid particle swarm algorithm for packing of unequal circles in a larger containing circle,Xu Yi-Chun
13495,2006,Application of velocity-changeable discrete particle swarm optimization algorithm for blind detection,Xu Yite
13496,2005,Congestion management based on particle swarm optimization,Chen Zhi
13497,2005,Improved particle swarm optimization algorithm for optimum steelmaking charge plan based on the pseudo tsp solution,Xue Yun-Can
13498,2004,Improved particle swarm optimization algorithm for integrated steel-making optimum charge plan,Xue Yuncan
13499,2006,Self-tuning of pid parameters based on the modified particle swarm optimization,Xue Yuncan
13500,2006,Adaptive bandwidth allocation based on particle swarm optimization for multimedia leo satellite systems,Yan Dong
13501,2006,Design a novel neural network clustering algorithm based on pso and application,Yan Hongwen
13502,2006,Reconfiguration of network skeleton based on discrete particleswarm optimization for black-start restoration,
13503,2005,Fdtd time series extrapolation by the least squares support vector machine method with the particle swarm optimization technique,Yang Y.
13504,2006,A pso and simulated annealing hybrid algorithm to task allocation problem for holonic manufacturing system,Yahong Y.A.N.G.
13505,2004,Particle swarm optimization for base station placement in mobile communication,Yangyang Zhang
13506,2006,A scheduling holon model with time petri net and its solution with a novel pso-ga algorithm,Yao Yunping
13507,2005,Adaptive array digital beamforming using complex-coded particle swarm optimization-genetic algorithm,Yeo Beng-Kiong
13508,2005,White blood cell image segmentation using on-line trained neural network,Yi Fang
13509,2006,Collision detection for deforming linear objects using particle swarm optimization,Yi Wang
13510,2006,Design of fractional order controllers based on particle swarm optimization,Cao Jun
13511,1999,A particle swarm optimization for reactive power and voltage control in electric power systems considering voltage security assessment,Yoshida H.
13512,2000,A particle swarm optimization for reactive power and voltage control considering voltage security assessment,Yoshida H.
13513,2001,A particle swarm optimization for reactive power and voltage control considering voltage security assessment,Yoshida H.
13514,2006,Design of a fast transient stability control scheme in power system,Yu Zhihong
13515,2004,Optimal multicast routing in wireless ad hoc sensor networks,Yuan Ping
13516,2006,Virtual mimo-based cross-layer design for wireless sensor networks,Yuan Yong
13517,2005,A perturbation particle swarm optimization for the synthesis of the radiation pattern of antenna array,Yuan Zhihao
13518,2006,A modified particle swarm algorithm combined with fuzzy neural network with application to financial risk early warning,Huang Fu
13519,2005,Design of yagi-uda antenna and electromagnetically coupled curl antenna using particle swarm optimization algorithm,Zainud-Deen S.H.
13520,2006,Protective relay coordination for micro-grid operation using particle swarm optimization,Zeineldin H.H.
13521,2005,Particle swarm optimizer with integral controller,Zeng Jianchao
13522,2006,Solving weapon-target assignment problem using discrete particle swarm optimization,Zeng Xiangping
13523,2005,Comparison of non-uniform optimal quantizer designs for speech coding with adaptive critics and particle swarm,Zha W.
13524,2005,Neural networks based non-uniform scalar quantizer design with particle swarm optimization,Zha W.
13525,2005,Using pso algorithm to evolve an optimum input subset for a svm in time series forecasting,Zhang Chunkai
13526,2000,Particle swarm optimisation for evolving artificial neural network,Zhang Chunkai
13527,2006,A dynamic clustering algorithm based on pso and its application in fuzzy identification,Zhang D.
13528,2006,A pso-based method for traffic stop-sign detection,Zhang Hang
13529,2006,Control of networked robotic manipulator via ilc and minimum entropy,Zhang Jianhua
13530,2006,Task scheduling based on pso algorithm in computational grid,Zhang Lei
13531,2006,Fuzzy kernel clustering based on particle swarm optimization,Zhang Libiao
13532,2005,Auto cropping for digital photographs,Zhang Mingju
13533,2006,Underwater image segmentation with maximum entropy based on particle swarm optimization (pso,Zhang Rubo
13534,2006,First International Multi-Symposiums on,
13535,2005,Fuzzy logic controlled particle swarm for reactive power optimization considering voltage stability,Zhang W.
13536,2004,Genetic programming-based modeling on chaotic time series,Zhang Wei
13537,2004,Reactive power optimization based on pso in a practical power system,Zhang Wen
13538,2006,An improved hybrid particle swarm optimization method for distribution network planning,Zhang Xian
13539,2004,Adaptive pmd compensation using pso algorithm,Zhang Xiaoguang
13540,2005,Particle swarm optimization used as a control algorithm for adaptive pmd compensation,Zhang Xiaoguang
13541,2004,A fast algorithm for image analogy using particle swarm optimization,Zhang Yan
13542,2004,Particle swarm optimization-based texture synthesis and texture transfer,Zhang Yan
13543,2004,Texture synthesis using particle swarm optimization,Zhang Yan
13544,2005,Analogue filter tuning for antenna matching with multiple objective particle swarm optimization,Zhang Yangyang
13545,2005,Fixed channel assignment in cellular radio networks using particle swarm optimization,Zhang Yangyang
13546,2006,Blind detection of multi-user signals in fading channels via discrete particle swarm optimization,Zhang Zhiyong
13547,2004,Improved particle swam optimization algorithm for opf problems,Zhao B.
13548,2005,An improved particle swarm optimization algorithm for optimal reactive power dispatch,Zhao B.
13549,2005,A multiagent-based particle swarm optimization approach for optimal reactive power dispatch,Zhao B.
13550,2004,Dynamic economic dispatch in electricity market using particle swarm optimization algorithm,Zhao Bo
13551,2006,An improved particle swarm optimization(pso) algorithm and fuzzy inference systems based approach to process planning and production scheduling integration in holonic manufacturing system (hms,Zhao Fu-Qing
13552,2006,Application of a hybrid particle swarm optimization algorithm to dynamic holon reconfiguring problem,Zhao Fuqing
13553,2005,Application of an improved particle swarm optimization algorithm for neural network training*,Zhao Fuqing
